,username,headline,interests,about_me_text,About,City,Details,Ethnicity,Intent,Education,Personality,Profession,I am Seeking a,For,Needs Test,Chemistry,Do you drink?,Do you want children?,Marital Status,Do you do drugs?,Hair Color,Eye Color,Do you have a car?,Do you have children?,Longest Relationship,How ambitious are you?,Pets,Second Language,Age,Gender,Zodiac Sign
match_107,FITNESS1978,CHIVALRY IS NOT DEAD,"['Music', 'Film', 'Travelling']","I'm Joshua and I recently moved back to Austin. I enjoy this city and all it has to offer. I'm a personal trainer, business owner and established artist. Looking to meet someone that's intelligent, fun, down to Earth with a great sense of humor. I'm educated, well travelled, goal oriented and I have my life together. Looking for real chemistry and substance! Not looking for hook-ups, or flings! Have a great day!",Non-Smoker with Athletic body type," Austin, Texas ","41 year old Male, 5' 11"" (180cm), Christian - other",Caucasian,FITNESS1978 is actively seeking a relationship.,Associates Degree,Adventurer,BUSINESS OWNER,Woman,Dating,Not Completed,Not Completed,No,Undecided/Open,Single,No,Brown,Green,Yes,No,Over 4 years,Very Ambitious,No Pets,Spanish,41,M,Virgo
match_108,Judw1dnot2,Read my profile first!,None,I don't know where I'm goingBut I sure know where I've beenHanging on the promises and songs of yesterdayAnd I've made up my mindI ain't wasting no more timeHere I go againHere I go againThough I keep searching for an answerI never seem to find what I'm looking forOh Lord I pray you give me strength to carry on'Cause I know what it meansTo walk along the lonely street of dreamsAnd here I go again on my ownGoing down the only road I've ever knownLike a drifter I was born to walk aloneBut I've made up my mindI ain't wastin' no more timeI'm just another heart in need of rescueWaiting on love's sweet charityAnd I'm gonna hold on for the rest of my days'Cause I know what it meansTo walk along the lonely street of dreams,Non-Smoker with Athletic body type," Cedar park, Texas ","44 year old Male, 6' 0"" (183cm), Non-religious",Caucasian,Judw1dnot2 is looking for a relationship.,Bachelors Degree,Intellectual,Tell you later,Woman,Long Term,Not Completed,View his chemistry results,Socially,Undecided/Open,Single,No,Brown,Green,Yes,Yes,Over 4 years,Very Ambitious,Dog,,44,M,Pisces
match_109,CaptainTomas,"Maybe I will, maybe we won’t","['Snowboarding', 'Surfing', 'Horsebacking']","Looking for my Royal Hyenas. I love it when a women knows what she wants and doesn’t hesitate getting it. I’m very supportive, open minded and always putting my best foot forward.",Non-Smoker with Average body type," S.a., Texas ","35 year old Male, 5' 8"" (173cm), Christian - other",Caucasian,CaptainTomas is looking for a relationship.,Some University,Professional,Project manager,Woman,Dating,Not Completed,View his chemistry results,Socially,Want children,Single,No,Brown,Hazel,Yes,No,Over 5 years,Not Ambitious,No Pets,Spanish,35,M,Capricorn
match_11,BenjaminJM,let’s see what happens,None,Tell you later.,Non-Smoker with Athletic body type," Round rock, Texas ","42 year old Male, 5' 10"" (178cm), Christian - other",Mixed Race,BenjaminJM is looking for a relationship.,Some college,Athletic,Truck Driver ,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Single,No,Black,Brown,Yes,Yes,Over 6 years,Ambitious,No Pets,,42,M,Pisces
match_110,kluv76,Let me try to be serious...,"['Photography', 'East Coast Swng', 'Lifting']","I'm fun, I'm funny and I can hold your interest but expectations will only hold you down...",Non-Smoker with Athletic body type," Round rock, Texas ","43 year old Male, 5' 9"" (175cm), Baptist",Black,kluv76 wants to date but nothing serious.,Bachelors Degree,Free Thinker,Legal,Woman,Dating,Not Completed,View his chemistry results,No,Does not want children,Single,No,Black,Brown,Yes,Yes,Over 3 years,Somewhat Ambitious,Other,,43,M,Leo
match_111,shieldjaguar,"Adventure and fun, than see what happens","['Computer stuff', 'Country dancing', 'Riding my harley']","After 25 or so years working in the world of Information Technology I left it behind temporarily to obtained my BA in Anthropology and now am about to complete graduate school with a Masters in Anthropology with a concentration in Archaeology. I have returned to IT because it pays the bills I still do the archaeology thing and am blessed to work on a wonderful project in the beautiful country of Belize with it's fabulous people and culture.Of course, I always make time for riding my Harley through the Texas Hill Country and spending time with friends and family. Also, as much hiking as I can get in.Would love to have somebody join me for my latest adventures.",Non-Smoker with A Few Extra Pounds body type," San antonio, Texas ","57 year old Male, 5' 11"" (180cm), Non-religious",Caucasian,shieldjaguar is looking for a relationship.,Masters Degree,Adventurer,"Archaeology, Information Technology",Woman,Dating,Not Completed,View his chemistry results,Socially,Undecided/Open,Single,No,Mixed Color,Hazel,Yes,No,Over 7 years,Ambitious,Dog,,57,M,Leo
match_112,johnk13sa,Hi there,None,Hi there. Thought I’d give this a try. I’m a relaxed guy love the outdoors. Hit the gym often. Love hitting bike trails or relaxing by the pool.,Non-Smoker with Athletic body type," San antonio, Texas ","37 year old Male, 6' 1"" (185cm), Christian - other",Caucasian,johnk13sa is looking for a relationship.,Bachelors Degree,Athletic,Financial advisor,Woman,Dating,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Blond(e),Blue,Yes,No,Over 5 years,Ambitious,No Pets,,37,M,Pisces
match_113,bjeffreywallace,Looking for someone to get to know,"['Friends', 'Concerts', 'RELAXING']","i work a lot but in my spare time i like to play sports and hang out with friends. i love music, all kinds of music but my favorite band of all time is Led Zeppelin. I grew up in Dallas then lived in New Mexico and Colorado for a few years now I am back in Texas but now am living in Austin.",Non-Smoker with Average body type," Austin, Texas ","38 year old Male, 5' 10"" (178cm), Other",Hispanic,bjeffreywallace is looking for a relationship.,High school,Athletic,Warehouse/Office Supervisor,Woman,Dating,Not Completed,View his chemistry results,No,Want children,Single,No,Black,Brown,Yes,No,Over 1 year,Ambitious,No Pets,,38,M,Virgo
match_114,I_Luv_Nachos,One time at band camp...,None,“He’s a beast…in the kitchen” – Food & Wine“Our go-to guy for fashion advice” – GQ“I wish he was my personal trainer.” – The Hulk“God made him so firemen would have a hero” – every fireman ever“I’m so glad she swiped right” – your momJohn Holmes once asked him where he buys his jock strapWhat else do you need to know?J/K!,Non-Smoker with Average body type," Austin, Texas ","46 year old Male, 6' 3"" (191cm), Baptist",Caucasian,I_Luv_Nachos is actively seeking a relationship.,Some University,Class Clown,IT,Woman,Dating,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Brown,Brown,Yes,No,Over 3 years,Ambitious,No Pets,,46,M,Scorpio
match_115,hillcountryguy53,let’s meet!,"['Family', 'Friends', 'Las Vegas']","Love the lakes, spending time with friends, spontaneous travel, rarely sit still!",Non-Smoker with Athletic body type," Marble falls, Texas ","53 year old Male, 6' 4"" (193cm), Catholic",Caucasian,hillcountryguy53 wants to date but nothing serious.,Bachelors Degree,Class Clown,manager,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Grey,Hazel,Yes,All my kids are over 18,Over 10 years,Ambitious,No Pets,,53,M,Virgo
match_116,back2txtank,Let's LAUGH!,"['Music', 'Working out', 'Football and basketball college and pro']","I’ve been told that I’m quite the storyteller and while I can’t give you my whole life version in this little box, I hope to give you enough that you’ll want to hear more…I enjoy laughter and conversation, time with good friends, and a variety of music. My two children are grown. My daughter is here for now. My son lives in Indiana. I treasure the time I get with them. My friends and family would tell you that my heart is empathetic and my loyalties run deep.Although active and busy, I keep my health in mind and try to get to the gym several days a week. I am ambitious. I try to maintain a work-life balance (but it can be challenging) and recharge with music, friends, spontaneous road trips, and exploring the area.I can’t offer perfection, so I won’t ask for it either. What makes a good relationship? Laughter and fun, honesty and communication, openness and a bit of adventure. It begins as friendship and grows into something more.Let’s start our conversation and see where things go!Favorite places to go:Hill Country lakes and rivers. Spots off the beaten path. Dance halls, interesting restaurants.Favorite music and stuff:Music of all kinds -- classic rock, classic country, blues, and jazz. Things I like to do:Tubing down the Guadalupe River, boating on Canyon Lake, snorkeling in the Caribbean. Spontaneous drives, exploring little Texas hill Country towns. Seeing the latest movie. Learning new things. Backyard barbecues.Recent books:I mostly read to expand my horizons and challenge my own thinking. Occupation:I sell large scale commercial solutions for a major audio video integrator.What am I looking for?I'm looking for an incredible woman! Haha! Nobody's perfect - I certainly know I have a few little quirks. You gotta be able to laugh and like to have fun! Yes, I can be serious. Would you be okay getting together with some new circles of friends? I have quite a few friends in several intermingled circles or groups. I am looking for a friendship that evolves into a stronger relationship. Honesty and communication is important - along with a sweet and loving personality! I am enjoying life in this great state of Texas and it would be nice to have someone to enjoy it with! ",Non-Smoker with A Few Extra Pounds body type," San antonio, Texas ","58 year old Male, 5' 6"" (168cm), Christian - other",Caucasian,back2txtank is looking for a relationship.,Bachelors Degree,Sapiophile,Sales,Woman,Dating,Viewhis relationship needs,View his chemistry results,Socially,Does not want children,Divorced,No,Red,Blue,Yes,All my kids are over 18,Over 10 years,Ambitious,No Pets,,58,M,Taurus
match_117,chicagoegypt,Bring some fun and a smile :),None,"Obviously its hard to describe one's self.I am very outgoing and a friendly person looking for friendship and fun.I have traveled a lot throughout my life and can get along with almost anyone.I was born in Argentina but I am 100% egyptian...I have lived in countries such as Rwanda, Kenya, Switzerland, France, Ireland and of course Egypt.I am told I have a great smile and I just love being around people so that's why I am here.If you like to have fun, please do get a hold of me and let's see if we're compatible :)I play soccer twice a week and that's my #1 passion and I also coach my daughter's team 2 days a week.I also like to play volleyball and in my free time, you will find me enjoying the outdoors or at home using my computer for various things.I also love to go out dancing on the weekends so if this is something you like to do, let me know as well.Please don't be a smoker or a druggie :DUpdate: I am also looking for friends for good conversations, similar hobbies and common goals so don't be shy to say hello :)",Non-Smoker with Average body type," Austin, Texas ","43 year old Male, 5' 11"" (180cm), Other",Middle Eastern,chicagoegypt is looking for a relationship.,Graduate Degree,Intellectual,Programmer,Woman,Hang Out,Not Completed,View his chemistry results,No,Prefer Not To Say,Divorced,No,Bald,Brown,Yes,Yes,Over 5 years,Ambitious,No Pets,Arabic,43,M,Virgo
match_118,adriansantoyo,............,None,,Non-Smoker with Average body type," San antonio tx, Texas ","62 year old Male, 6' 0"" (183cm), Catholic",Hispanic,adriansantoyo wants to date but nothing serious.,High school,Adventurer,Instale Floor,Woman,Friends,Not Completed,Not Completed,Socially,Prefer Not To Say,Separated,No,Mixed Color,Brown,Yes,Yes,Under 1 year,Not Ambitious,Other,Spanish,62,M,Capricorn
match_119,Jfnsca906,Any runners out there..,None,"Love exercising, good food, craft beer/wine and traveling. Also enjoy Netflix and baseball",Non-Smoker with Athletic body type," New braunfels, Texas ","34 year old Male, 5' 11"" (180cm), Christian - other",Hispanic,Jfnsca906 is looking for a relationship.,Some University,Traveler,Candlestick maker,Woman,Hang Out,Not Completed,Not Completed,Socially,Want children,Single,No,,Brown,Yes,No,Over 2 years,Ambitious,No Pets,English,34,M,Libra
match_12,whiskeyriver88,Just trying to find that “One”!,"['Texas country music', 'Bbq', 'Friends and family']","See, it's this part right here that everyone hates and that's describing themselves. But what the hell, here it goes...I'm a fun, good looking, pretty sarcastic, spontaneous, and don't worry about things I can't control kinda guy. I like happy hour, dancing and having good times with family and friends! That's all for now and you wanna know more just shoot me a message! ",Non-Smoker with Average body type," Round rock, Texas ","46 year old Male, 5' 10"" (178cm), Catholic",Hispanic,whiskeyriver88 is looking for a relationship.,Some college,Athletic,Military,Woman,Long Term,Not Completed,View his chemistry results,Socially,Prefer Not To Say,Divorced,No,Brown,Brown,Yes,Yes,Over 10 years,Very Ambitious,Dog,,46,M,Aquarius
match_120,1ofakind112633,I''m enjoying life to the fullest!!,"['Enjoying life to the fullest', 'Someone Who Knows What They Want And Is Upfront About It', 'Sense of humor is a most']","I am an accomplished and well educated individual who has traveled all over the world(military). I am extremely confident and have a great sense of humor! I enjoy watching/playing sports, watching movies, enjoying great times with great people! I truly embrace the idea that we only have one life to live and that''s a finite amount of time, so we must enjoy life and make great memories!! Are you in or what??",Non-Smoker with Athletic body type," San antonio, Texas ","40 year old Male, 5' 10"" (178cm), Non-religious",Black,1ofakind112633 wants to date but nothing serious.,Masters Degree,Free Thinker,Retired Military ,Woman,Hang Out,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Red,Brown,Yes,Yes,Over 10 years,Very Ambitious,Dog,,40,M,Leo
match_121,Ryan_Tx84,Country boy with class,"['Music', 'Golf', 'Traveling']","I am a native Texan originally from the Houston area. My job has put me in New Braunfels and I couldn't be happier! I'm a laid back guy and enjoy good company. I absolutely love live music. I like discovering bands that I've never heard of. The calendar in my kitchen has concert dates written all over it. I love golf, hunting, fishing, traveling, and ALL Houston sports teams! I work for a General Contractor and have worked for the same company since college. Im one of those guys that can be covered in dirt one day and sitting down to a nice dinner and wine the next. I love to travel and try to take at least one good trip a year. I'd be glad to share more, just contact me!",Non-Smoker with Average body type," New braunfels, Texas ","35 year old Male, 6' 0"" (183cm), Christian - other",Caucasian,Ryan_Tx84 is looking for a relationship.,Bachelors Degree,Traveler,Project Manager- Construction ,Woman,Dating,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Brown,Hazel,Yes,No,Over 1 year,Ambitious,No Pets,,35,M,Cancer
match_122,stallionboy1980,just trying this out last time,None,I’m a family oriented man who works long hrs and comes home to workout and live a simple life. I love to travel and see new places water is my main go to lol,Non-Smoker with Athletic body type," Bastrop, Texas ","37 year old Male, 5' 7"" (170cm), Non-religious",Hispanic,stallionboy1980 wants to date but nothing serious.,Some college,Adventurer,oil fields/field management,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Single,No,Black,Brown,Yes,Yes,Over 8 years,Very Ambitious,Cat & Dog,,37,M,Cancer
match_123,Bigtruckdriver47,I guess,None,Looking. Let''s chat! The only dumb question is the one you don't ask...,Non-Smoker with Average body type," Truck driver, Texas ","47 year old Male, 5' 10"" (178cm), Baptist",Black,Bigtruckdriver47 is actively seeking a relationship.,High school,Music Snob,Truck Driver,Woman,Long Term,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Bald,Brown,Yes,Yes,Over 10 years,Very Ambitious,No Pets,,47,M,Gemini
match_124,Ánthony_1,"Alegría, diversión,familia paz y armonía",None,Soy una persona q adapta a cualquier situación a la q enfrenta con mente positiva,Non-Smoker with Athletic body type," Austin, Texas ","34 year old Male, 5' 7"" (170cm), Other",Hispanic,Ánthony_1 is looking for a relationship.,Graduate Degree,Player,Asistente De Supervicion Complejos D Aptos,Woman,Hang Out,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Black,Other,Yes,Yes,Over 6 years,Very Ambitious,No Pets,,34,M,Virgo
match_125,austinguy4444,Online Dating is Terrible,None,"*I come with 2 girls aged 9 and 6 and I’m not a weekend dad. *Well. Here I am. On POF.com. What a long, amazing road its been. I had it with the dating apps, complained to unknown numbers of strangers that the apps were shallow and ruining the whole human interaction thing...and what did I do to stand up for principles and my experiences? Solved it with another dating app. Yeah, let’s do that. Smart man. Then again, I did learn a lot. Heck, just a few days ago I went on the worst date of my whole life. I’ll spare you the details but I’ll share that lies are a terrible way to gain the affection of this man.Yes, the dating apps molded me, shaped me and taught me exactly what I didn’t want. They taught me that I too can feel bad about myself if I don’t have a standard and boundaries. They taught me that I am not in competition with any male. I’m just searching for something I lack. I don’t need or want any woman. I want the right woman. I don’t care what you look like. I care who you are. I don’t need companionship. I want a friend. I’m not desperate. I simply want someone to love that loves me back. I don’t want to go on dates. I want to spend my time with someone I like being around.I could continue that list on and on but I think you want to know about who I am. What to say? Should I write words to woo you? Or say things you want to hear? Ugh. How about some truth? Then maybe you can deduce who I am...I know you wonderful people are walking BS detectors. I’m divorced because we never should have gotten married just because we had a kid. We tried to make it work for 10 years cause that’s what you do, right? Terrible choice. We simply should never have gone that way. But now we are all happier. I believe the father is the most lacking thing our values have forgotten. Just about every statistic about crime or education or single moms involves the lack of committed dads. I believe in talking it out. I don’t need to change you, future companion. I do know how to be introspective and share my feelings. Some of my brothers can’t do that and I’m sorry for them. One of my strengths is being able to detect something needs to be talked about and not solved. That venting and talking is just about the most relaxing thing here is. Almost. I’m a super engaged dad. My kids are homeschooled. No, you don’t need to change anything for me/us. I got this. Just know I value the freedom of being able to teach my kids and give them a gift very few of us get. No, homeschool is not better - just better for us. To each their own. I am an introvert. No, it doesn’t mean I can’t stare longingly into your eyes or push up my glasses (none) with my finger or can’t confront someone that needs to be checked. It means simply that I recharge my social batteries by quiet and calm, by being around the familiar and safe. I can act like any extrovert for a time but it’s exhausting. Fellow introverts know what’s up. I want to give to you so much I can’t stand it. I want to support you 150%. When you are busy I want to run your errands. When you are sick I want to do everything to serve you. When we need time to ourselves I want to shield us. When you are growing I want to lift you up. However, I want you to do the same. I want unconditional support and to give it as well. Every relationship I’ve ever been in has taught me - THAT is the way. I can feel it. Exactly what good friends do. Can we strive for that? Fantastic. Well, that’s my spiel.",Non-Smoker with Average body type," Austin, Texas ","43 year old Male, 6' 2"" (188cm), Other",Caucasian,austinguy4444 is actively seeking a relationship.,Bachelors Degree,Free Thinker,engineer,Woman,Long Term,Not Completed,Not Completed,Socially,Prefer Not To Say,Divorced,No,Brown,Grey,Yes,Yes,Over 10 years,Ambitious,No Pets,,43,M,Cancer
match_126,Rothko_Rain,When does a dad joke become a dad joke?,"['News/politics', 'Music listening', 'Film Watching']","I''m looking for a hiking, camping, paddling partner, and eventually, a life partner and lover.",Non-Smoker with Athletic body type," Austin, Texas ","37 year old Male, 5' 10"" (178cm), Non-religious",Caucasian,Rothko_Rain is looking for a relationship.,Bachelors Degree,Music Snob,Supervisor in a Water Department,Woman,Dating,Not Completed,Not Completed,No,Undecided/Open,Single,No,Brown,Brown,Yes,Yes,Over 6 years,Ambitious,No Pets,,37,M,Cancer
match_127,riverratt74,"Looking for River, Music, & Travel Partner","['River', 'Live Music', 'Travel']",New to this. Will fill out ASAP!!,Non-Smoker with Average body type," New braunfels, Texas ","45 year old Male, 6' 2"" (188cm), Christian - other",Caucasian,riverratt74 is actively seeking a relationship.,Some University,Traveler,Self Employed,Woman,Long Term,Viewhis relationship needs,View his chemistry results,Socially,Undecided/Open,Single,No,Brown,Blue,Yes,No,Over 2 years,Ambitious,Dog,,45,M,Libra
match_128,maxtor99,Searching 4 the enchanting mermaid,"['Wisdom', 'Love', 'Joy']","Well I like to have positive conversations, I love to meet new friendly people to go out and appreciate all blessings in life.I also love the outdoors it seems to me that theres alot of great ways to get to know a unique person without the distraction of the noisy city.",Non-Smoker with Athletic body type," San antonio, Texas ","40 year old Male, 5' 11"" (180cm), Christian - other",Hispanic,maxtor99 is looking for a relationship.,High school,Adventurer,Sales Man,Woman,Long Term,Not Completed,View his chemistry results,Socially,Undecided/Open,Divorced,No,Mixed Color,Brown,Yes,Yes,Over 10 years,Somewhat Ambitious,Other,English,40,M,Aquarius
