,username,Gender,Education,Ethnicity,about_me_text
10,tif1985,F,High school,Hispanic,"I'm on here just looking for friends someone that can hold a conversation and be fun. I am a single parent of a seven year old boy. I like to go out to bars, movies or even just stay hm with that special someone.I'm a very nice and caring person. I'm also not on here looking to hook up for a one night stand."
11,De1964,F,Bachelors Degree,Caucasian,"Please local only to Central Texas. Also while I appreciate your service to our military I am too old to have a relationship that has to worry about deployment or moves . I guess I can say I sometimes hit wrong button when looking at profiles on my phone. I also will say I will click on your picture if I see a pet. Or if I see a cowboy hat. Or if you have a great smile. Yes if you are shirtless and have a great body. Mmm so if you are in a hat, without a shirt and sporting a great smile well then I will just have to click on your profile. Chunky, upbeat and goofy. My son's friends think I am a cool mom. I think I am a good friend to have. I am trusting and try to surround myself with people who are worthy of my friendship.Work in downtown Austin.Love to country and western dance. I like playing pool (not that good) but am good for a laugh or two. Wish I owned a shuffle board table. I will play horseshoes until I have blisters. I have an almost 4 year old deaf boxer and a 7 month old****r spaniel. Love to cook. Comfort food and baked goods. I repay favors with chocolate chip cookies or a homemade cake."
12,Trini1971,F,Some college,Indian,"I am a Mom to a 15-year-old. I was born in the Caribbean I am West Indian.I am seeking friendship if it turns into more I will welcome it, I am not here for a one night stand or a hookup. I do not have the meet me feature so if you want to speak to me send me a message. I am inquisitive. I am from the land of sugar and spice and I can do everything twice (wink)I am easy to get along with. I can be feisty when it's needed. I got a sense of humor, doesn't need a****ail to have a good time. I like to read, cook, dance, listen to music hang out with my loved ones. Love going to concert."
13,FiaFia1213,F,Some college,Caucasian,"I like to think I am mostly just normal. I have two little boys that I share custody of. I enjoy good beer, good whiskey, intelligent conversation, and the comfort of a relationship. 95% of the time I'm busy being a single Momma. The other 5% I am trying to figure out exactly when it will be acceptable to take of my pants and find a corner to nap in."
14,SweetJojos,F,Some college,Hispanic,Up for anything
15,Tawdra83,F,Bachelors Degree,Hispanic,I’m a artist. I cook at my job and I do a lot of customer service relations as well. What makes me unique is that I am a hard worker and I love to make anything I do work out and taste wonderful :) I love 70s rock and alternative rock and other music. I’m not picky my playlist is very wide. If anyone wishes to meet me or just talk to me please message me. I’ll message back when I can. Can’t wait to hear from you guys out there. :)
16,LadyTexas254,F,Bachelors Degree,Black,not looking for anything serious at the moment just doing mekik me @ ash_nicole254 (ladies I braid hair)SMOKERS especially cigarette Smokers please bypass me altogether I'm NOT interested DO NOT ask for my # if I'm feeling you I'll offer it 
17,Vigilia79,F,Associates Degree,Hispanic,"Hi there! I'm Christina: I'm not perfect and never said I was! *Im 40 yrs old* 17+ yrs in kitchen management and decided to change it* About to graduate with AAS in network admin in Dec 2019*Will graduate with AAS in Cyber security in Mat 2020* I have 2 sons , 21 and 16. * INFJ Personality. ( no matter how many times I take test...it never changes. )* I''m looking for someone who can make me laugh. * I''m tall, weird and chunky so you must like that.* I like all kinds of music, concerts, road trips, being lazy, random adventures, dinner n drinks, BBQ, movies* I want to find someone that will want to do those things with me.My IG: vigilia79 :)"
18,ayoung292,F,Masters Degree,Caucasian,Music is life and concerts are my addiction. Could be addicted to worse things. Have all I need but love.
19,Foreverfungrl,F,Some college,Hispanic,Ask me Are
20,southstar5,F,Some college,Hispanic,Single have two kids don't want any more.
21,alpha3975,F,High school,Hispanic,Movies dinne out..
22,71NOexpectations,F,Associates Degree,Other Ethnicity,Just testing the waters here...NO expectations. My age is 48 not 43?!?!
23,LadytexanInSA,F,Some college,Hispanic,"Hi I am a single Hispanic divorced female...I am not Ms. America and certainly no skinny Barbie guess you could say I am a short BBW. Hey give me credit I use to weigh over 300 lbs now down to 250. I work hard and work alot... I want to change my life and want to find a partner to love me and me love him. Someone that is as attracted to me as I am to him. Although I am not the best dancer in the world I love to dance all types of music except the rap crap ""yuk"" I am a family oriented person and would welcome a wonderful man that is willing to share his life with me and me with him. I don't want drama.... all I want is a peaceful relationship full of love, one in which we compliment each other. I don't want someone that is an alcoholic, drug addict, womanizer or with no goals in life ...I don't need that in my life and I will not settle for it either. Sorry but have to make sure you understand that--also I believe that if there is no chemistry on the 1st date there is probably no reason to pursue the relationship. Also, if you have a Harley it does not impress me (seen too many spinal cord and brain injuries as a result of motorcycle accidents)so be safe. Good Luck to Everyone in finding their special someone.....God Bless"
24,Wishing_on_stars1,F,Some college,Hispanic,"Looking for the whole package. Someone who wants the long term. Outdoorsman who likes to fish, loves the beach, always up for travel or where ever the day/night may take us. Be willing to take me to that dive bar with the food truck outside or maybe just stay at home once in a while or hit up the movies. Must be family oriented, have manners and all the other normal things in life like a job,car, own place. Good music, cold beer, great conversation = good nightI don’t pay attention to the meet me notifications, why not just drop me a line?"
25,KarmaChris,F,Bachelors Degree,Hispanic,I know my worth and don’t need a man to tell me. I don’t want to be taken care of and I DO NOT want to take care of a man!
26,cat2018bf,F,Some college,Asian,I'm a mother of 4 awesome teenagers!! I've been on this site off and on for too long. I'm hoping to find a connection with that special someone. Is it you?
27,taty4242,F,Graduate Degree,Hispanic,"Have a great conversation, dinner, or lunch and don't forget to speak the truth because I hate when men’s lie and you can see the lies on his face . . . . Don't forget be your own not trying to be another person...Please..... Do not put your car, it seems that it is the only thing that you can offer, Very beautiful the case and of very little value the ?? jewel ??."
28,splatina,F,Some college,Hispanic,Number one reason why someone you contacted does not respond is because they are not attracted to you.. plain and simple.. and vice versa..we have a choice..people should get off the high horse they are riding..Single mom by choice..the fishing pond has very limited options and most of the time it’s you who puts the limits on yourself.. Time will show all your secrets.. why lie.. it’s gonna come out anyway.. just save yourself time and stop wasting others time.. so selfish and rude.If your looking for Ms perfect please leave this profile now.. she’s not here..if you have a vision in your head about what she looks like or how she HAS to be..she’s not here.. just saying
29,LoveMichi83,F,,Hispanic,"Hi, hope you are having an awesome and blessed day. My name is Michelle, thank you for your interest in reading my profile.... -> Looking for my best friend, in the hopes that one day, it will turn into marriage. Preferences: 5'10 or taller and age range 38-44 Raised in the USA: I am part French and part Mexican= Frenxican, LOLI was born in CD. Juarez Chihuahua Mexico (6yrs)Raised in El Paso TX (15years)Moved to Austin area to attend college and stayed We really like it here! (16years end of January) Important: What you are about to read, will keep the right men interested in me, and will keep the wrong guy away... I am not here for a ""free meal"" or anything like that. I am here looking for something serious. We learn from our experiences and become better individuals for our future. It's all about perspective and being positive! A little bit about myself: I am a single mother of three kids (from the same father). Their dad is in Houston visits them when he gets a chance. I keep myself busy with a full time job that I love, two part time jobs that only attend to about 2-6hrs a week, try to make time to hang out with my kids, and we are active at church. It really just depends what is going on. Please don't let all this discourage you from messaging me. I do make time to respond to texts on my breaks/lunch and will make time to hang out or go on a date with the man that really wants to be with me. I am a one man woman, and when I meet him and feel like he's The One, just then and only then, I will get off this site. First things first.... My best friend and true love must put God 1st.I am a devoted Christian woman, and I seek a man who is God centered and has a relationship with God. A God Centered Man: A true man of God is; trustworthy, honest, confident, respectful, serves others, fearless, compassionate, and loving. A true man of God is not; prideful, rude, sarcastic, disrespectful, mean, does not manipulate, nor will he hurt anyone in any way.My Walk as a devoted Christian woman: A little bit about why a relationship with God is important to me and my significant other needs to be a true faithful man of God....*I was born into a Christian family, however I never felt a relationship with God until now. My parents got divorced when I was a teenager and we stopped attending church, my mom lost faith. Later when I became an adult, I would attend church sometimes, read the Bible, and prayed. I believed that was enough.... but it wasn't.I went through sooo many things.... until one day I had nothing and had many many obstacles..... my mission leader told me one day, get on your knees and pray. I did and my life changed forever. God started answering my prayers, fast! I decided to get baptized at my current church, and be more involved serving others (teacher at church) and a student in bible studies. One day I asked God to use me in His favor.He annointed me with the Holy Spirit and sent me as a missionary to Mexico, and now I am also a prayer partner at church.**I still have lots to learn and do. I am not perfect. However, it is extremely important who we allow into our life, into our minds, and into our heart and soul. I learn from my mistakes, and make changes as I grow.Life is about changing, but changing for the better. A true relationship: I am here looking for my true love, a serious friendship that will turn into marriage, I am in no rush. To be friends 1st will allow us to get to know each other better; learning how to communicate with each other, develop trust, be honest, and respect each other's time. I am very confident about myself, I know exactly what I want and need. However, I am not perfect, but always improving. I have learned to be alone and not feel lonely.Relationships is something that we need to work on daily, showing respect, having communication, caring for each another, being honest, and being compassionate. What do you seek physically in a woman? Physically I call myself average. I am active-working out again. Walking, jogging, INSANITY (occasionally), and small weights. Body type is Not too big or small.I carry myself very well and I find myself attractive. My best attributes are my beautiful long wavy/curly hair, big brown eyes, nice lips, and long legs. Let's talk about LOVE: These are the 5 Love Languages: Words of Affirmation, Acts of Service, Receiving Gifts, Quality Time, and Physical Touch.This is how I feel about them: we all feel some are more important than the rest.... #1- Words of Affirmation (attention).Complementing each other Extremely Important. Makes you feel attracted to your significant other, more confident, and makes you feel positive and happy.It's really sad to feel lonely when you are next to someone who doesn't give you the attention nor do they talk to you. Sometimes it makes you feel that you are the only one doing it.... not good... starts making you doubt who you are with.#2- Quality Time When in a relationship, I believe it's important to do almost everything together. There's times that yes, we can enjoy being with friends without our significant other. As long as there is trust and communication.#3- Acts of Service I am a single mother of three kids, I don't have a man around. If there's anything to be done that might be more for a man to do, I'd like for the man in my life to step up and help. Or help others- super attractive #4- Receiving Gifts This is super important when starting a relationship. It makes each other feel special. This tells us that our significant other was thinking about us. #5- Physical Touch I seek a man I can call my best friend- which means I can trust in and won't judge me, but will know what to tell me. Be there for me when I need him the most. Someone I can be myself with and won't try to manipulate me to be someone I am not. Hugs and kisses are important in my culture- I am Mexican, hugs help in many ways: Helps release stress, feel loved, can take you from being mad to calm to down. Also, since I am obedient, Intimacy comes later in a relationship (marriage). We need all Five Love Languages in a Relationship.They are all important. If interested please don't be shy and send me a message.I seek my best friend; this creates trust, learn how to communicate, and to be honest with each other. The rest comes later, I am in no rush. Thank you for taking interest in reading my profile. Be safe and God bless "
30,aims2016,F,Some college,Hispanic,Hi my name is Aims not sexy .. also if you do drugs such as meth and coke please dont even bother .. not really sure what I am looking for ... if you start off the conversation with do you want to **** I will not entertain you at all I am much more than a piece of ass thank you
31,RoxannenicoleM,F,Graduate Degree,Hispanic,"Simply looking for a serious man that can be FAITHFUL.I am a simple easy going women that is in search of a loving, passionate and outgoing man. I am easy to please and simply want honesty. If your looking for just a good time please move on to the next. I am not about games but a long term partner. In hopes of something more when the time is right. I am a Christian women, mother and hard worker and expect no less from a man. I believe in order for a relationahip to work your heart must belong to the Lord first. And the rest will fall into place. So again if you are not looking for something serious please don't waste both of our time. -I believe that life is way too short for games and lies. I am old fashion a believe in taking care of my man when he gets home with hot home cooked meals and knowing the deference between family time, work mode and our bed room time. You can find me on Facebook if you want to know more about. Maria Diaz Rodriguez."
32,goldenwarmluv,F,Some University,Hispanic,"First of all, thank.you all for all the compliments.I appreciate ;) You may see below on conversation starter area to know what i seek n don't want in a connection..Im independent.but not feminist I believe in having a partner..real man who is responsible cares about her above other things...of course in proper order...hence why I stated on title..keep me safe//cover me..**Im into deep convos and if you aren't into communicating I will probably lose interest**curious natured and research important things like crookeddeepstate to get justice for our nation.children.trafficking...middle class...spiritual truths..natural health remedies to keep disease free ailment free...into laughter w good company..maybe under stars. Passionate about God/spritual..if you aren't into that or cant accept and join me..we wouldn't be a match. Seeking possible friends...only time determines destiny..commitment cant come till it feels right & meant..but its my true intention to marry with someone that gets me and I get him..and we can make life blissful w love, spirtuality and the bigger picture & exploringadventures..causes to help other or inform ppl of injustices to then make a difference in our society up in high levels even etc..I would enjoy easy going person who likes to talk about anything and everything...yes we should b picky..who we decide to spend time with matters..its valuable time if seeking something meaningful whether friendship or more.I. im not into wasting time..not interested in major party only types that dont know what they want in life..Im a motivator by nature, im realist. will tell you the truth...i speak my mind nicelyI believe we have so.much potential...You are more than you have become, take your place in this circle of life..including myself....Im.intrigued by simple things... i like creative ppl who actually r smarter and have humour and playful spirit.down the road ...hehe...someone w goals and open to the spiritual... down to earth fun kind caring cool easy going...lovable by nature...Tell me your goals...I will tell you mine.. see if were compatible in a different scale...a.joint life w a purpose..Also probably someone who is entrepreneurial in businesses...charities, foundations,humanitarian efforts would b interesting to connect with..A man not afraid of a woman who does lots of things in life..and could possibly join me or I join him in these adventures in life..fr business to hobbies to spiritual pursuits..to romance......Im leaning to the principle that believes its better to give than receive...Ironically theres a promise of no lack and quite the opposite happens...abundance..satisfaction in helping .giving others in some form...Its not perfected yet in my life..lol..but its my mission ;) .its not always possible to connect in all wishful areas..but if nothing else remains between two down the road..let it be true love and faith ;)..On a side note* Im not discriminating.but I strongly prefer a spiritual person or one truly seeking it..This is hardest area to find in a partner..I think that type of understanding/ connection between two is of the utmost importance since my faith is very important to me....I know many of you dont understand christianity personally..but to me I cant imagine living without my faith in him..its my foundation..im hardly perfect but I feel satisfied and loved as I have a relationship w him. I had a deep profound experience that forever changed my perception..I can share more upon request regarding this..However,.Im really interested in what you are in the inside/caring and understanding ..your heart...how you treat ppl...Someone who complements me///Im into reading writing..creating music.learning, business, traveling more in near future..Im into pursuing truth.knowing more about God..philosophy, ppl...but not religious at all..I do believe in absolutes..that concept..I love spiritual pursuits, doing something greater for humanity in future..Im open to.getting to know ppl and taking it slow...if it flows...great! Dont be scared to contact me first ;)Im a warm person ..many say im sassy but very friendly,intellectual, serious when needed,classy, compassionate,understanding, affectionate,warm,positive,caring,curious ,playful & flirty w one..if meant one day..I love the pursuit of love and happiness ;) Im excited about the future..many things.left to do..goals to.make happen, memories to create.. It will be enjoyable....capture me if you can!# Once you do im fiercely loyalDisclaimer..looking for platonic friendship leading to more.no hook ups...lifes too short to screw it up so fast....if you dont agree...thats an indication that were not a match..or youre not ready for something potentially lasting ...in the event we really really click..one never knows...time will tell...but it should be a mind body soul spiritual connection to really b worth it..You know...that feeling of thinking of someone night and day..and going a bit crazy, losing your appetite and dreaming about them in your sleep....why not? It shouldn't be just a connection...but exciting to anticipate what will happen next as the days & nights go by...Someone who is deep*.....and when he falls in like or love....he doesn't lie , acts like .thinks or says its just a silly phase..but that he embraces love and won't let it get away...because if it should happen..I do believe it is rare...I hope he's smart enough to get that ) I just want to enjoy friendship or love..whatever is meant....life is too short to fear and limit thingsOh...I love music ..since a girl, its very inspiring to me...I prefer hearing music than watching tv...really...My taste in music varies...omg... jazz..soft rock, pop, some wrap, r&b, Christian.Im partial to Christian Praise & worship since way younger..got so into it I recorded long ago,always involved in songwriting throughout years..Hobbies/writing ..creating music and hope to bring those projects to a completion in near future..I get carried away w music..I mean I love all kinds really/tell me fav songBesides that...I am a communicator.do love discussing about anything..as long as its not lame, you know something that is interesting! I'm pretty cultured, self learned, curious minded, I like intellectuals who are down to earth also...its a fine line! Don't prefer stuffy over soulful...show me the real you..the deeper the better...lets see what youre made of...I secretly want a man ready for a commitment if it goes well. Im different..we all are to an extent..but many fit the mold..I dont follow crowd.***WARNING: Any institutions or individuals using this site or any of its associated sites for studies, projects, advertising, sales, or any other reason-you DO NOT have permission to use any of my profile or pictures in any form or forum both current and future. If you have or do, it will be considered a violation of my privacy and will be subject to legal ramifications."
33,tastiione,F,Some college,Other Ethnicity,Am a outgoing person love trying new things
34,latinaangel2015,F,Some college,Hispanic,Dont really like talking about myself. I'm a firm believer that actions speak louder than words. When dating I prefer blk men. Hit me up.
35,akimitsu0916,F,High school,Asian,"I’m originally from Japan. I like water activity. scuba, snorkeling,paddle board, relax at beach, hiking. I love go out eating find nice restaurant. I can eat so many different kind of food. But my favorite food is sushi and steak.I have a cat and Chihuahua. Listening Jazz, bachata, salsa, all latin music. Sometimes I go to social salsa dance. I love dancing!! I go to yoga and gym couple times a week.I divorced over a year ago. Don’t have kids, don’t smoke. I’m looking for only relationship.NO one night stand, NO game :("
36,bethelight100,F,Associates Degree,Hispanic,"I recently went back to school and am now in a new career. It has been a roller coaster getting here. I am a Christian and involved within my church. That is important for me within a relationship. I enjoy the normal stuff ??Movies, dinners, music, hiking, being passenger on a motorcycle, ...Things that are important for me is that you are a Christian, can communicate even in difficult situations, can be silly because I can be a huge dork at times, you are kind and honest."
37,IcyTexasLatina,F,Some college,Hispanic,I'm spoiled and love to be spoiled. I like hanging out and trying new things. I'm upfront about everything and except the same in return. I'm a very independent person and very bold person. I'm not a Baker I don't sugar coat anything so if you don't want to hear the truth don't ask me!!!IF YOU DON'T HAVE A PROFILE PICTURE THEN DON'T EVEN BOTHER SENDING ME A MESSAGE!!! THE WAY I LOOK AT IT IF YOU'RE TO SCARED TO LOOK AT YOUR SELF IMAGE THEN I'M SURE I'M NOT GOING TO WANT TO SEE YOU EITHER!!! LOLI just moved back to Texas after 14yrs of living in North Dakota wow ?? have things changed in Texas!!! Maybe I just gotten older...lol 
38,GoddessNimaathapi,F,Masters Degree,Native American,"I’m an Aquarian Goddess that enjoys spending time with my loved ones . I’m open minded and love having deep spiritual and intellectual conversations. I have a excellent sense of humor and love going to comedy shows. I adore reading and listening to music. I’m a positive forward thinking person and I’d like to spend time with someone that is like minded in that regard. I’m interested in melanistic individuals mainly. Although I can be friends with anyone. Here we go.... S E X..... is cool, I really like it! I’m multi orgasmic. However, sir... I’m not trying to give you my body right off the bat.So, chill out . If the chemistry is good and the vibe is vibin let it happen organically. Should you be interested in aligning your chakras, meditation, or shopping for crystals leave me a kind message. If you just want some ****, please move along. Best wishes & happy hunting!"
39,MSD38,F,Some college,Caucasian,"Single mom of 3 kiddos 17,15,12 who are my world. Love to go out or stay in. Love good music which is 90’s R&B. I assure u im not fresh out the box....i like reading, working out, anything out doors, the beach, tubing, travel, picnics, long walks, cooking, yoga, concerts, comedy shows....i can have a good time anywhere im a very social person. "
40,Jenaya10,F,Some college,Caucasian,"Ok so here we go... I have been here for tiny bit so its finally time to fill this thing out!I'm a mom first off to a beautiful 9 year old girl. She the most important thing is my life. Being a mom is so my #1 job before my job!I have a amazing job, great family and blessed!I am Christian .... my faith is super important and I would prefer to date inside my religious beliefs! Yes I know dating moms suck when they have a child full time. I do take things slow and if you cant handle that I completely understand but I'm trying to be a good example to my child as well. Yes I do have weekends way... she does have a involved dad that takes her on some occasional weekends. I'm not that damn boring ..... lolI do know how to have fun... I like taking trips for the night to Gamble, watch shows, I love parks, the ocean, roadtrips, shoot pool, play cards dominoes... I super competitive!...no I dont go to church every Sunday but God still loves me... lol!I am a that girl that firmly believes in sneaky alcohol into places you shouldn't and hoping I dont get it taken! Dont judge!I dont have a ton of free time to myself so I take full advantage when I can. I am simply looking for a good match for me..... a man who's still knows how to be manly man....Someone that's kind hearted, honest, sincere, someone that knows how to walk away from confrontation (fighting is a complete turn off), a man who fears God, someone that follows his heart who doesn't need to make plans for everything we do, I'm a free spirit and it's fun to make up plans as you go! He has to be slow to anger.. understanding and forgiving. It would be nice if I didnt have to change all my light bulbs or hang all my pictures everytime I change the furniture around... (I get bored with the same view) lmao! ... seriously dont judge!I have to know this person has my back as much as I will have theres!  I LOVE to laugh... I seriously make fun of everything! I curse sometimes (sometimes alot), I'm not perfect and that's why I go to church.... haha... Purely I need someone that simply knows how to have fun and not take things so serious! Ya I think that's a good description....With all of that being said....Please stop sending me descriptive sexual offers... I'm not a one night stand.. If you dont like kids.. your not the one for me.If the bar and club scene is your spot .. stay there!If you drink to black outs every time you drink... please dont message me. Dang some people on here tear me up if I dont answer messages... please dont.. NOT COOL! Other than that I do consider myself a pretty badass female and I'm looking for a badass man .... I'm NOT perfect for everyone but I'm a perfectly comfortable with who I am.!One more thing... I'm NOT a sugar mama... So please... If I could have birthed you then chances are I wont date you. Sorry!"
41,TiffanyRamos,F,Masters Degree,Caucasian,"I'm easygoing and low maintenance. I can have just as good a time at home doin things as I do going out. Sometimes I just like to grab a cup of coffee and hang out at the cafe and other times I prefer dancing my butt off. I love my pets, especially my pit bull who is the sweetest dog ever!"
42,tallandten,F,Some college,Caucasian,Hope u r doing well.....great big howdy ...wow...isn't life grand....GOD........MOTHER EARTH..air...water..sunshine....children.......family..friends.........horses(all)..animals....Texas..sat night dancing...travel...life s adventures....some are good..some are great....being kind..healthy..decent...humans....having a loving manner towards mankind......TEN IS MY SHOE SIZE... GOD BLESS AMERICA!!
43,domainchic,F,Bachelors Degree,Caucasian,"If you want a confident, independent woman who has it together and knows who she is, send me a note. I’m a busy professional but I’ll make time for you if you can make me laugh/smile. I can be witty, accommodating, generous and playful when you get to me get to know me. Sunset, drinks, and lake/pool...+ some good convo, great tunes, laughter, and smiles and we’re good! Life is short...enjoy it! I’m 5’7 without heels and prefer tall guys."
44,taraj77,F,Some college,Caucasian,"Please make me laugh!!!!! Fresh edge up is a MUST!! Enjoy anything skin care, outdoors, meeting new people, my two kiddos and loud music! Please have a personality and be able to carry a convo. MUST be into sports and support the Nebraska Huskers!!!! I''m super competitive!! Im have a super bubbly personality, smiling, laughing..positive!!! Old school music JUNKIE. No disrespect to anyone, interracial dating is my preferred choice and interest."
45,EnjoyLife1111,F,Bachelors Degree,Caucasian,"I've lived in San Antonio for a while, but it still feels unfamiliar to me. I'd like to meet someone to explore it with, or to show me all their favorite places. I'd like to see everything - I like trying new things. I love all types of music, from oldies to heavy metal. I am a movie and tv buff, but I also love ziplining and travelling. I think what sets me apart is my enthusiasm for almost everything. The only thing I really hate is negativity!I'm looking for someone who is not trying to fill some gaping hole in their life, but is trying to add to their life with a friend or a relationship that will make their life even better. Someone who enjoys their life already, and would like to share it with someone else.I have my own house and car (for some reason that seems to be notable on this site), I have two fabulous kids who mean the world to me, great friends, and I'm happier than I can remember. I'd like to add someone else in there and see how it goes."
46,susank2084,F,High school,Caucasian,Hello my name is Susan I’m looking for a serious relationship but I would like to talk get to know one another take things slow and not rush into anything to fast. I’m not able to drive because I take medicine for a kidney transplant. I was on dialysis for 10 years but I received a new kidney on April 20 2012 and I have been off dialysis for 7 years now. I also live with my mom but I’m working on getting a part time job save money to move out. But I take care of myself and my sweet little pug Miss Georgia my mom just helps me with some things and drives me places. I would like to meet a guy who knows how to treat a woman right love her for who she is be romantic and who can provide for the both of us. But that doesn’t mean I’m not going to help provide for us also. I’m not on here to have my time wasted or play games and I’m definitely not on here to get inappropriate messages or****pics.
47,nu2townatx,F,High school,Hispanic,"Hi! I am new to Austin, moved here from Dallas in August 2019. I came here for a my dream job. I love the vibe here in Austin and always have. I do have two kids, one is an adult and lives on his own, my youngest is a teenager and decided to live with his dad when I made to move to Austin. I am a fan of sports-football, basketball, UFC, and boxing. I am a happy person who always tries to see the glass half full. I like to go out exploring, going to the movies, love music all kinds and like to go out and find cool places to hang out."
48,KKG63,F,Masters Degree,Caucasian,Like any outdoor activities.
49,mesha83,F,Masters Degree,Black,"Heyy!! Im a versatile person. I can go club with you or sit and read a book with you. I'm pretty straightforward and silly. I have 4 amazing kids! Please do not message me if sex is on your mind. Do not message me if I for some reason appear to have low self esteem in your eyes and that's your angle. Do not message me if your initial line of communication is hey sexy. Please do not message me if your convo is dry!! If I am not your type and you are a gym fanatic, we can be platonic friends so you can help motivate me!! Snapchat: uluv_juicy"
50,thickgirlmonday,F,Some college,Black,"I like darts,Ilove music blues,RB,Country,I enjoy cooking,Cuddling,Holding hands,Playing cards,I have alots of long time friends,I have birthday comming up pretty fast.I hope to live 0every day to the fullest."
51,shadesofredd,F,Masters Degree,Caucasian,I love fishing
52,MisLady1975, ,High school,Black,"Starting over can be the hardest,but best thing in Life when you know that you've given your all, and put in the work but it's still not enough for a person to fight for there Queen. I'm a Woman who Loves music of all geners, as well as always setting goals for herself to continue to challenge myself in every step of my life. Ive continued to keep smiling and never let anyone steal the Joy that God placed in Me to be able to share it through my life and I Look to have that someone in My Life that I can Love even when it hurts....."
53,Gayton2012,F,Some college,Caucasian,Just ask
54,Armcandy13,F,Bachelors Degree,Caucasian,"I look exactly like my pictures...not from an earlier, skinnier time or hiding my fat angle from above. I'm a straight shooter, sarcastic, and full of sass. My story is still being written. I'm not a bitter man-hater, just my way of having fun with this online dating craziness. Um guys? I get that many of you are sports fans. Don't you have other friends to share your sports enthusiasm? I could care less about what you have or your vacations...your quality as a person is more than material things. I am past having kids, don't want anyone who has never been married and/or had their own children, under 35, less than 5'10"", doesn't have a profile pic, or who has let themselves go to fat. Yeah I'm a picky b*tch with stretch marks and a wolf pouch. If you actually read my profile and don't meet any of my criteria...then don't message me."
55,fleurdelise,F,High school,Hispanic,"Hey there!!! I’m a Mom & young Glamma! Lol?? My Twins are 20, youngest is 15 & I have 3 grandsons with another one on the way. I’m one of the easiest people to get to know. Just don’t lie to me & we are great! Honesty is #1 & be yourself! I just want to get to know someone & hope to have a relationship. "
56,rfeld1tx,F,Bachelors Degree,Caucasian,I am single.......
57,curran61,F,Bachelors Degree,Caucasian,"Indie movies, long walks,travel"
