,username,headline,interests,about_me_text,About,City,Details,Ethnicity,Intent,Education,Personality,Profession,For,Needs Test,Chemistry,Do you drink?,Do you want children?,Marital Status,Do you do drugs?,Hair Color,Eye Color,Do you have a car?,Do you have children?,Longest Relationship,How ambitious are you?,Pets,Second Language,AboutMe,Interests,AboutAndrea,AboutCandie,AboutTiffany,AboutTrini,AboutSophia,Aboutjo,AboutAshley Nicole,Aboutlarrissa,AboutRLR,Aboutaims,AboutStacy,AboutJ,AboutTara,AboutSusan,AboutMesha,AboutLooking995,AboutJami,AboutMisty,AboutRoxanna,AboutClaire,AboutAda09,AboutAmy,AboutMariana,AboutCORRAL,AboutPriscilla,AboutLaura,AboutCherry,Aboutbeka78,AboutAnna,AboutAli,Aboutkat,AboutDragonfly236,AboutSyl,AboutTricey,AboutPauline,AboutAydnil,AboutJennifer,AboutLINDA,AboutVee,AboutD,AboutGloria,AboutAshley,Aboutjenny,AboutRosario,AboutPatricia,AboutMichele,Aboutjoy,AboutVictoria,AboutKaren,Aboutcyndi,AboutMari,AboutKara,AboutIngrid,AboutPamela,AboutWanda,AboutPrettyFeetChef,AboutMyBaby49,AboutSharon,AboutRosalba,AboutEmma,AboutMary Rodriguez,AboutShestie,AboutJenny RM,AboutChristina,AboutApril,AboutSonia,AboutLinda,AboutJessica,AboutNilla,AboutAsk me,AboutTenci,AboutBonnie,AboutAngela,AboutElizabeth,AboutLina,AboutKatrina,AboutSaTexas65,AboutDena,AboutKatherine,AboutT,AboutThelM,AboutLatonya,AboutBeautiful,AboutLil,AboutRuth Guerrero,Aboutlisa,AboutMaintain,AboutPRINCE$$'''''''''''''''''''''''''''''''''''''''''',AboutBelle,AboutChristie,AboutKristen,AboutCynthia,AboutAjaye,AboutJetta,About Me,AboutMartha Taylor,AboutCarolyn,AboutAlejandra,AboutAnita,Aboutsusie,AboutI’m not ur side ✌️ ...I want to be ur ✌️,AboutMyrna,AboutDahlia,AboutJenni,AboutKristy,AboutGayle,AboutNancy,AboutMarie,Aboutneida,AboutStephanie,AboutR,AboutMelissa,AboutKiona,AboutCarmen,Aboutlinda,AboutJanette,AboutLynette,AboutCindie,AboutJoy,AboutJae,AboutMonie,AboutSue,AboutTerry,AboutNiqq,AboutLori,Aboutveronica,AboutKenda,Age,Gender,Zodiac Sign
match_107,tif1985,I'm single,None,"I'm on here just looking for friends someone that can hold a conversation and be fun. I am a single parent of a seven year old boy. I like to go out to bars, movies or even just stay hm with that special someone.I'm a very nice and caring person. I'm also not on here looking to hook up for a one night stand.",Non-Smoker with A Few Extra Pounds body type," San antonio, Texas ","34 year old Female, 5' 4"" (163cm), Catholic",Hispanic,tif1985 wants to date but nothing serious.,High school,Free Thinker,Customer service rep,Man,Friends,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Brown,Green,Yes,Yes,Over 6 years,Ambitious,,,,,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,F,Capricorn
match_108,De1964,1 photo=no reply. Sorry. Not sorry.,"['Camping', 'Country and Western Dancing', 'Cooking']","Please local only to Central Texas. Also while I appreciate your service to our military I am too old to have a relationship that has to worry about deployment or moves . I guess I can say I sometimes hit wrong button when looking at profiles on my phone. I also will say I will click on your picture if I see a pet. Or if I see a cowboy hat. Or if you have a great smile. Yes if you are shirtless and have a great body. Mmm so if you are in a hat, without a shirt and sporting a great smile well then I will just have to click on your profile. Chunky, upbeat and goofy. My son's friends think I am a cool mom. I think I am a good friend to have. I am trusting and try to surround myself with people who are worthy of my friendship.Work in downtown Austin.Love to country and western dance. I like playing pool (not that good) but am good for a laugh or two. Wish I owned a shuffle board table. I will play horseshoes until I have blisters. I have an almost 4 year old deaf boxer and a 7 month old****r spaniel. Love to cook. Comfort food and baked goods. I repay favors with chocolate chip cookies or a homemade cake.",Non-Smoker with A Few Extra Pounds body type," Elgin, Texas ","55 year old Female, 5' 3"" (160cm), Catholic",Caucasian,De1964 is looking for a relationship.,Bachelors Degree,Animal Lover,Accountant,Man,Long Term,Viewher relationship needs,View her chemistry results,Socially,Does not want children,Single,No,Brown,Hazel,Yes,All my kids are over 18,Over 10 years,Not Ambitious, Dog,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,F,Virgo
match_109,Trini1971,Seeking a friend (No benefits),None,"I am a Mom to a 15-year-old. I was born in the Caribbean I am West Indian.I am seeking friendship if it turns into more I will welcome it, I am not here for a one night stand or a hookup. I do not have the meet me feature so if you want to speak to me send me a message. I am inquisitive. I am from the land of sugar and spice and I can do everything twice (wink)I am easy to get along with. I can be feisty when it's needed. I got a sense of humor, doesn't need a****ail to have a good time. I like to read, cook, dance, listen to music hang out with my loved ones. Love going to concert.",Non-Smoker with A Few Extra Pounds body type," Austin, Texas ","47 year old Female, 5' 4"" (163cm), Presbyterian",Indian,Trini1971 is looking for a relationship.,Some college,Homebody,Former Preschool teacher ,Man,Friends,Not Completed,Not Completed,Socially,Prefer Not To Say,Divorced,No,Brown,Brown,Yes,Yes,Over 10 years,Somewhat Ambitious,,,,,,,Birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,F,Sagittarius
match_11,FiaFia1213,Natural born ginger...,None,"I like to think I am mostly just normal. I have two little boys that I share custody of. I enjoy good beer, good whiskey, intelligent conversation, and the comfort of a relationship. 95% of the time I'm busy being a single Momma. The other 5% I am trying to figure out exactly when it will be acceptable to take of my pants and find a corner to nap in.",Non-Smoker with Average body type," Austin, Texas ","35 year old Female, 5' 4"" (163cm), Non-religious",Caucasian,FiaFia1213 is looking for a relationship.,Some college,Bookworm,Office manager/bookkeeper ,Man,Long Term,Not Completed,Not Completed,Socially,Prefer Not To Say,Divorced,No,Red,Green,Yes,Yes,Over 6 years,Somewhat Ambitious,,,,,,,,Cat & Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,F,Gemini
match_110,SweetJojos,Just me,None,Up for anything,Non-Smoker with Average body type," Austin, Texas ","43 year old Female, 5' 1"" (155cm), Non-religious",Hispanic,SweetJojos is looking for a relationship.,Some college,Free Thinker,Chef,Man,Dating,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Black,Brown,Yes,No,,Over 10 years,Dog,,,,,,,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,F,Aries
match_111,Tawdra83,Hi hi,"['Love concerts', 'I play the flute so I love classic music', 'I enjoy walks']",I’m a artist. I cook at my job and I do a lot of customer service relations as well. What makes me unique is that I am a hard worker and I love to make anything I do work out and taste wonderful :) I love 70s rock and alternative rock and other music. I’m not picky my playlist is very wide. If anyone wishes to meet me or just talk to me please message me. I’ll message back when I can. Can’t wait to hear from you guys out there. :),Non-Smoker with A Few Extra Pounds body type," Austin, Texas ","36 year old Female, 5' 4"" (163cm), Christian - other",Hispanic,Tawdra83 is actively seeking a relationship.,Bachelors Degree,Artsy,Cook,Man,Long Term,Not Completed,View her chemistry results,Socially,Want children,Single,No,Brown,Brown,Yes,No,Under 1 year,Somewhat Ambitious,Dog,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,F,Taurus
match_112,LadyTexas254,LadyTexas254,None,not looking for anything serious at the moment just doing mekik me @ ash_nicole254 (ladies I braid hair)SMOKERS especially cigarette Smokers please bypass me altogether I'm NOT interested DO NOT ask for my # if I'm feeling you I'll offer it ,Non-Smoker with Thin body type," Austin, Texas ","34 year old Female, 5' 3"" (160cm), Christian - other",Black,LadyTexas254 is looking for a relationship.,Bachelors Degree,Fashionista,Medical ,Man,Friends,Not Completed,View her chemistry results,Socially,Want children,Single,No,Black,Brown,Yes,Yes,Over 4 years,Very Ambitious,,,,,,,,,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,F,Sagittarius
match_113,Vigilia79,This isn't working. It isn't me. It's you!,"['IT', 'Tech', 'PTk']","Hi there! I'm Christina: I'm not perfect and never said I was! *Im 40 yrs old* 17+ yrs in kitchen management and decided to change it* About to graduate with AAS in network admin in Dec 2019*Will graduate with AAS in Cyber security in Mat 2020* I have 2 sons , 21 and 16. * INFJ Personality. ( no matter how many times I take test...it never changes. )* I''m looking for someone who can make me laugh. * I''m tall, weird and chunky so you must like that.* I like all kinds of music, concerts, road trips, being lazy, random adventures, dinner n drinks, BBQ, movies* I want to find someone that will want to do those things with me.My IG: vigilia79 :)",Non-Smoker with Big & Tall/BBW body type," Kyle, Texas ","40 year old Female, 5' 9"" (175cm), Non-religious",Hispanic,Vigilia79 is looking for a relationship.,Associates Degree,Homebody,IT Student,Man,Long Term,Not Completed,Not Completed,Socially,Prefer Not To Say,Divorced,No,Brown,Hazel,Prefer Not To Say,Prefer Not To Say,Over 7 years,Ambitious,No Pets,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,F,Cancer
match_114,ayoung292,Educator by day/ Metal head by night,"['Working with kids', 'Reading', 'Metal']",Music is life and concerts are my addiction. Could be addicted to worse things. Have all I need but love.,Non-Smoker with A Few Extra Pounds body type," Leander, Texas ","45 year old Female, 5' 2"" (157cm), Christian - other",Caucasian,ayoung292 is looking for a relationship.,Masters Degree,Hopeless Romantic,Director,Man,Long Term,Not Completed,Not Completed,Socially,Does not want children,Single,No,Mixed Color,Blue,Yes,All my kids are over 18,Over 10 years,Ambitious,,,Cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,F,Leo
match_115,Foreverfungrl,FAKE PICS ARE FOR LOSERS,None,Ask me Are,Non-Smoker with A Few Extra Pounds body type," San antonio, Texas ","43 year old Female, 5' 3"" (160cm), Non-religious",Hispanic,Foreverfungrl wants to date but nothing serious.,Some college,Animal Lover,Sales ,Man,Dating,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Mixed Color,Brown,Yes,All my kids are over 18,Over 6 years,Ambitious,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,F,Taurus
match_116,southstar5,Hey there,None,Single have two kids don't want any more.,Non-Smoker with Big & Tall/BBW body type," San antonio, Texas ","45 year old Female, 5' 6"" (168cm), Other",Hispanic,southstar5 is looking for a relationship.,Some college,Film/TV Junkie,Tech,Man,Dating,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Brown,Brown,No,Yes,Over 10 years,Ambitious,No Pets,,,,,,,,,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,F,Capricorn
match_117,alpha3975,Let's see,None,Movies dinne out..,Non-Smoker with Average body type," Seguin, Texas ","43 year old Female, 5' 6"" (168cm), Christian - other",Hispanic,alpha3975 is looking for a relationship.,High school,Night Owl,Buss.adm,Man,Long Term,Not Completed,View her chemistry results,Socially,Does not want children,Single,No,Black,Brown,Yes,Yes,Over 10 years,Ambitious,Cat,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,F,Scorpio
match_118,71NOexpectations,¡¡Catfish need NOT apply!!,"['Spartans races', 'Boxing', 'Brazilian jiu jitsu']",Just testing the waters here...NO expectations. My age is 48 not 43?!?!,Non-Smoker with A Few Extra Pounds body type," San antonio, Texas ","43 year old Female, 5' 5"" (165cm), Other",Other Ethnicity,71NOexpectations is actively seeking a relationship.,Associates Degree,Beach Bum,Medical field ,Man,Long Term,Not Completed,View her chemistry results,Socially,Undecided/Open,Divorced,No,Brown, Brown,Yes,No,Over 6 years,Very Ambitious,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,F,Virgo
match_119,LadytexanInSA,Want 1 Man to Love 100 Different Ways,"['Weekend trips/ drive to near by towns site see/explore', 'Garage Sales', 'Flea markets']","Hi I am a single Hispanic divorced female...I am not Ms. America and certainly no skinny Barbie guess you could say I am a short BBW. Hey give me credit I use to weigh over 300 lbs now down to 250. I work hard and work alot... I want to change my life and want to find a partner to love me and me love him. Someone that is as attracted to me as I am to him. Although I am not the best dancer in the world I love to dance all types of music except the rap crap ""yuk"" I am a family oriented person and would welcome a wonderful man that is willing to share his life with me and me with him. I don't want drama.... all I want is a peaceful relationship full of love, one in which we compliment each other. I don't want someone that is an alcoholic, drug addict, womanizer or with no goals in life ...I don't need that in my life and I will not settle for it either. Sorry but have to make sure you understand that--also I believe that if there is no chemistry on the 1st date there is probably no reason to pursue the relationship. Also, if you have a Harley it does not impress me (seen too many spinal cord and brain injuries as a result of motorcycle accidents)so be safe. Good Luck to Everyone in finding their special someone.....God Bless",Non-Smoker with Big & Tall/BBW body type," San antonio, Texas ","61 year old Female, 5' 2"" (157cm), Catholic",Hispanic,LadytexanInSA is looking for a relationship.,Some college,Hopeless Romantic,Business Office ,Man,Long Term,Viewher relationship needs,View her chemistry results,Socially,Prefer Not To Say,Divorced,No,Mixed Color,Brown,Yes,All my kids are over 18,Over 10 years,Ambitious,Dog,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,F,Sagittarius
